id,src,tags,svgPath,filename,length,composition,startTime,endTime,setPath
,"/Clips/Bach Mov 1 v2_[4L, T,  E, HR]_[0,34,365]_[0,36,474] [2021-09-24 222332].wav","T,TONE,E,T,4L,BACH,UL,HR","M0, 12C11.781333333333334,14.5 41.234666666666676,26.5 70.688,27C100.14133333333335,27.5 147.26666666666668,17 176.72,15C206.17333333333332,13 229.736,12.333333333333334 247.408,15C265.08,17.666666666666668 270.97066666666666,30.166666666666668 282.752,31C294.53333333333336,31.833333333333332 312.20533333333333,28.5 318.096,20C323.9866666666667,11.5 323.9866666666667,-11.5 318.096,-20C312.20533333333333,-28.5 294.53333333333336,-31.833333333333332 282.752,-31C270.97066666666666,-30.166666666666668 265.08,-17.666666666666668 247.408,-15C229.736,-12.333333333333334 206.1733333333333,-13 176.72,-15C147.26666666666665,-17 100.14133333333335,-27.5 70.688,-27C41.234666666666676,-26.5 11.781333333333334,-18.5 0,-12C-11.781333333333334,-5.5 0,12 0,12C0,16 0,12 0,12","Bach Mov 1 v2_[4L, T,  E, HR]_[0,34,365]_[0,36,474] [2021-09-24 222332].wav",2.1094104308390023,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[4L, T, FL, MR]_[0,16,474]_[0,18,693] [2021-09-24 222331].wav","T,TONE,T,4L,BACH,MR,FL,UL","M0, 15C12.218666666666666,17.333333333333332 54.98399999999999,28.833333333333332 73.312,29C91.63999999999999,29.166666666666668 91.64,18.833333333333332 109.968,16C128.296,13.166666666666666 158.8426666666667,10.333333333333334 183.28,12C207.71733333333336,13.666666666666666 238.26399999999998,24.5 256.592,26C274.92,27.5 281.02933333333334,21.166666666666668 293.248,21C305.46666666666664,20.833333333333332 323.79466666666667,32.666666666666664 329.904,25C336.0133333333333,17.333333333333332 336.0133333333333,-17.333333333333332 329.904,-25C323.79466666666667,-32.666666666666664 305.46666666666664,-20.833333333333332 293.248,-21C281.02933333333334,-21.166666666666668 274.92,-27.5 256.592,-26C238.26399999999998,-24.5 207.7173333333333,-13.666666666666666 183.28,-12C158.84266666666667,-10.333333333333334 128.296,-13.166666666666666 109.968,-16C91.64,-18.833333333333332 91.63999999999999,-29.166666666666668 73.312,-29C54.98399999999999,-28.833333333333332 12.218666666666666,-22.333333333333332 0,-15C-12.218666666666666,-7.666666666666667 0,15 0,15C0,20 0,15 0,15","Bach Mov 1 v2_[4L, T, FL, MR]_[0,16,474]_[0,18,693] [2021-09-24 222331].wav",2.21875283446712,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[4L, T, FL, MR]_[0,26,670]_[0,28,924] [2021-09-24 222331].wav","T,TONE,T,4L,BACH,MR,FL,UL","M0, 18C6.178666666666666,17.666666666666668 12.35733333333333,14.333333333333334 37.071999999999996,16C61.786666666666655,17.666666666666668 123.57333333333331,28 148.28799999999998,28C173.00266666666664,28 166.82399999999998,16.666666666666668 185.35999999999999,16C203.89599999999996,15.333333333333334 234.7893333333333,23.5 259.50399999999996,24C284.21866666666665,24.5 321.29066666666665,26.166666666666668 333.64799999999997,19C346.00533333333334,11.833333333333334 346.00533333333334,-11.833333333333334 333.64799999999997,-19C321.29066666666665,-26.166666666666668 284.21866666666665,-24.5 259.50399999999996,-24C234.7893333333333,-23.5 203.89599999999996,-15.333333333333334 185.35999999999999,-16C166.82399999999998,-16.666666666666668 173.00266666666664,-28 148.28799999999998,-28C123.57333333333331,-28 61.786666666666655,-17.666666666666668 37.071999999999996,-16C12.35733333333333,-14.333333333333334 6.178666666666666,-23.666666666666668 0,-18C-6.178666666666666,-12.333333333333334 0,18 0,18C0,24 0,18 0,18","Bach Mov 1 v2_[4L, T, FL, MR]_[0,26,670]_[0,28,924] [2021-09-24 222331].wav",2.253922902494331,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[C,T,LT]_[1,12,162]_[1,24,224] [2021-09-24 222333].wav","T,BACH,C,TONE,LT,UL","M0, 12C31.17866666666667,14.333333333333334 148.09866666666667,24 187.072,26C226.04533333333333,28 194.86666666666667,26.666666666666668 233.84,24C272.81333333333333,21.333333333333332 389.7333333333334,15.666666666666666 420.91200000000003,10C452.09066666666666,4.333333333333333 459.88533333333334,-4 420.91200000000003,-10C381.93866666666673,-16 257.224,-25.666666666666668 187.072,-26C116.92,-26.333333333333332 31.17866666666667,-18.333333333333332 0,-12C-31.17866666666667,-5.666666666666667 0,12 0,12C0,16 0,12 0,12","Bach Mov 1 v2_[C,T,LT]_[1,12,162]_[1,24,224] [2021-09-24 222333].wav",3.062517006802721,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[D, 2L, HR, B]_[1,7,314]_[1,8,939] [2021-09-24 222332].wav","T,TONE,B,D,BACH,UL,HR,2L","M0, 27C4.92,26.5 14.760000000000003,23 29.52,24C44.28,25 68.87999999999998,32 88.55999999999999,33C108.24,34 132.83999999999997,29.333333333333332 147.6,30C162.35999999999999,30.666666666666668 157.43999999999994,36.333333333333336 177.11999999999998,37C196.79999999999995,37.666666666666664 250.91999999999996,45.833333333333336 265.68,34C280.44,22.166666666666668 280.44,-22.166666666666668 265.68,-34C250.91999999999996,-45.833333333333336 196.79999999999998,-37.666666666666664 177.11999999999998,-37C157.43999999999997,-36.333333333333336 162.35999999999999,-30.666666666666668 147.6,-30C132.83999999999997,-29.333333333333332 108.24,-34 88.55999999999999,-33C68.87999999999998,-32 44.28,-25 29.52,-24C14.760000000000003,-23 4.92,-35.5 0,-27C-4.92,-18.5 0,27 0,27C0,36 0,27 0,27","Bach Mov 1 v2_[D, 2L, HR, B]_[1,7,314]_[1,8,939] [2021-09-24 222332].wav",1.6250340136054422,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[FL, 3L, T, MR]_[1,41,521]_[1,43,76] [2021-09-24 222333].wav","T,TONE,T,FL,3L,BACH,MR,UL","M0, 14C4.781333333333333,19.333333333333332 19.125333333333334,43.666666666666664 28.688000000000002,46C38.25066666666667,48.333333333333336 43.032000000000004,28.333333333333332 57.376000000000005,28C71.72000000000001,27.666666666666668 100.40800000000002,45 114.75200000000001,44C129.096,43 133.87733333333335,23.833333333333332 143.44,22C153.00266666666664,20.166666666666668 157.78400000000002,31.5 172.128,33C186.47199999999998,34.5 215.16,32.5 229.50400000000002,31C243.84800000000004,29.5 253.41066666666666,33.166666666666664 258.192,24C262.97333333333336,14.833333333333334 267.75466666666665,-14.333333333333334 258.192,-24C248.62933333333334,-33.666666666666664 215.15999999999997,-32.5 200.81599999999997,-34C186.47199999999995,-35.5 181.69066666666666,-35 172.128,-33C162.56533333333334,-31 153.00266666666667,-20.166666666666668 143.44,-22C133.87733333333333,-23.833333333333332 129.096,-43 114.75200000000001,-44C100.40800000000002,-45 71.72000000000001,-27.666666666666668 57.376000000000005,-28C43.032000000000004,-28.333333333333332 38.25066666666667,-48.333333333333336 28.688000000000002,-46C19.125333333333334,-43.666666666666664 4.781333333333333,-24 0,-14C-4.781333333333333,-4 0,14 0,14C0,18.666666666666668 0,14 0,14","Bach Mov 1 v2_[FL, 3L, T, MR]_[1,41,521]_[1,43,76] [2021-09-24 222333].wav",1.5546938775510204,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[LT, MR, T]_[1,29,224]_[1,30,224] [2021-09-24 222333].wav","T,T,BACH,TONE,MR,LT,UL","M0, 17C11.015999999999998,18.166666666666668 44.063999999999986,24.833333333333332 66.09599999999999,24C88.12799999999999,23.166666666666668 110.15999999999997,14.166666666666666 132.19199999999998,12C154.22399999999996,9.833333333333334 187.27200000000002,14.833333333333334 198.288,11C209.304,7.166666666666667 209.304,-7.166666666666667 198.288,-11C187.27200000000002,-14.833333333333334 154.22399999999996,-9.833333333333334 132.19199999999998,-12C110.15999999999997,-14.166666666666666 88.12799999999999,-23.166666666666668 66.09599999999999,-24C44.063999999999986,-24.833333333333332 11.015999999999998,-23.833333333333332 0,-17C-11.015999999999998,-10.166666666666666 0,17 0,17C0,22.666666666666668 0,17 0,17","Bach Mov 1 v2_[LT, MR, T]_[1,29,224]_[1,30,224] [2021-09-24 222333].wav",1.0000226757369615,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[LT, MR]_[0,11,474]_[0,12,771] [2021-09-24 222156].wav","T,BACH,TONE,MR,LT,UL","M0, 15C12.792,15.666666666666666 55.431999999999995,16 76.752,19C98.07199999999999,22 115.12799999999999,33.5 127.91999999999999,33C140.71200000000002,32.5 136.448,19.666666666666668 153.504,16C170.55999999999997,12.333333333333334 217.46399999999994,15.5 230.25599999999997,11C243.048,6.5 243.048,-6.5 230.25599999999997,-11C217.46399999999994,-15.5 170.55999999999997,-12.333333333333334 153.504,-16C136.44799999999998,-19.666666666666668 140.71200000000002,-32.5 127.91999999999999,-33C115.12799999999999,-33.5 98.07199999999999,-22 76.752,-19C55.431999999999995,-16 12.792,-20.666666666666668 0,-15C-12.792,-9.333333333333334 0,15 0,15C0,20 0,15 0,15","Bach Mov 1 v2_[LT, MR]_[0,11,474]_[0,12,771] [2021-09-24 222156].wav",1.2968934240362813,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[T, 3L, R, MR]_[0,55,506]_[0,58,959] [2021-09-24 222332].wav","T,TONE,3L,BACH,MR,UL,R","M0, 11C8.573333333333332,12.5 34.29333333333333,19.833333333333332 51.44,20C68.58666666666666,20.166666666666668 85.73333333333335,11.166666666666666 102.88,12C120.02666666666664,12.833333333333334 128.6,24.833333333333332 154.32,25C180.04,25.166666666666668 231.47999999999993,13.333333333333334 257.2,13C282.92,12.666666666666666 274.34666666666664,23.166666666666668 308.64,23C342.93333333333334,22.833333333333332 437.23999999999995,17.833333333333332 462.96,12C488.68,6.166666666666667 488.68,-6.166666666666667 462.96,-12C437.23999999999995,-17.833333333333332 342.93333333333334,-22.833333333333332 308.64,-23C274.34666666666664,-23.166666666666668 282.91999999999996,-12.666666666666666 257.2,-13C231.48,-13.333333333333334 180.03999999999996,-25.166666666666668 154.32,-25C128.6,-24.833333333333332 120.02666666666664,-12.833333333333334 102.88,-12C85.73333333333333,-11.166666666666666 68.58666666666666,-20.166666666666668 51.44,-20C34.29333333333333,-19.833333333333332 8.573333333333332,-16.166666666666668 0,-11C-8.573333333333332,-5.833333333333333 0,11 0,11C0,14.666666666666666 0,11 0,11","Bach Mov 1 v2_[T, 3L, R, MR]_[0,55,506]_[0,58,959] [2021-09-24 222332].wav",3.4531292517006804,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[T, 4L, FL, MR]_[0,43,131]_[0,45,427] [2021-09-24 222332].wav","T,TONE,4L,BACH,MR,FL,UL","M0, 14C6.264,14.833333333333334 25.056,18.833333333333332 37.584,19C50.112,19.166666666666668 56.376000000000005,13.666666666666666 75.168,15C93.96,16.333333333333332 125.28000000000002,27.166666666666668 150.336,27C175.39200000000002,26.833333333333332 194.184,14.166666666666666 225.50400000000002,14C256.824,13.833333333333334 319.464,32.666666666666664 338.25600000000003,26C357.048,19.333333333333332 357.048,-19.333333333333332 338.25600000000003,-26C319.464,-32.666666666666664 256.824,-13.833333333333334 225.50400000000002,-14C194.184,-14.166666666666666 175.39199999999997,-26.833333333333332 150.336,-27C125.28000000000002,-27.166666666666668 93.96,-16.333333333333332 75.168,-15C56.376000000000005,-13.666666666666666 50.112,-19.166666666666668 37.584,-19C25.056,-18.833333333333332 6.264,-19.5 0,-14C-6.264,-8.5 0,14 0,14C0,18.666666666666668 0,14 0,14","Bach Mov 1 v2_[T, 4L, FL, MR]_[0,43,131]_[0,45,427] [2021-09-24 222332].wav",2.296893424036281,,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
